cohort,id,question,event_title,created_at,end_date,volume,decision
train,553538,US military action against Iran by Friday?,US military action against Iran by Friday?,2025-06-18 17:54:13+00:00,2025-06-20 00:00:00+00:00,2340571.936421,EXCLUDE (different family - broader 'military action' ladder)
train,553566,US military action against Iran by Thursday?,US military action against Iran by Thursday?,2025-06-18 20:57:52+00:00,2025-06-19 00:00:00+00:00,811717.636221,EXCLUDE (different family - broader 'military action' ladder)
train,554010,US military action against Iran by Saturday?,US military action against Iran by Saturday?,2025-06-19 22:26:46+00:00,2025-06-21 23:55:00+00:00,4480426.714156,EXCLUDE (different family - broader 'military action' ladder)
train,554011,US military action against Iran by Monday?,US military action against Iran by Monday?,2025-06-19 22:36:49+00:00,2025-06-23 23:55:00+00:00,959580.995146,EXCLUDE (different family - broader 'military action' ladder)
train,554012,US military action against Iran by Sunday?,US military action against Iran by Sunday?,2025-06-19 22:38:49+00:00,2025-06-22 23:55:00+00:00,3733050.391322,EXCLUDE (different family - broader 'military action' ladder)
train,1167607,"Will the US not strike Iran by January 31, 2026?",US next strikes Iran on...?,2026-01-12 15:02:17+00:00,2026-01-31 00:00:00+00:00,3713061.192454,"EXCLUDE (inverse market, not canonical ladder)"
train,1273938,"Will the US not strike Iran by February 28, 2026?",US next strikes Iran on...?,2026-01-26 23:22:56+00:00,2026-02-28 00:00:00+00:00,2460912.036104,"EXCLUDE (inverse market, not canonical ladder)"
train,1359830,"Will the US not strike Iran by March 31, 2026?",US next strikes Iran on...?,2026-02-09 15:43:20+00:00,2026-03-31 00:00:00+00:00,344679.563063,"EXCLUDE (inverse market, not canonical ladder)"
train,1385900,"Will the US not strike Iran by April 4, 2026?",When will the US next strike Iran? (Week),2026-02-16 16:57:37+00:00,2026-04-04 00:00:00+00:00,47104.576827,"EXCLUDE (inverse market, not canonical ladder)"
train,1139919,"Will US or Israel strike Iran by January 8, 2026?",US/Israel strikes Iran by...?,2026-01-08 22:34:56+00:00,2026-12-31 00:00:00+00:00,101670.289822,"EXCLUDE (joint US/Israel family, not canonical)"
train,1139920,"Will US or Israel strike Iran by January 9, 2026?",US/Israel strikes Iran by...?,2026-01-08 22:34:56+00:00,2026-12-31 00:00:00+00:00,125988.664163,"EXCLUDE (joint US/Israel family, not canonical)"
train,1139921,"Will US or Israel strike Iran by January 10, 2026?",US/Israel strikes Iran by...?,2026-01-08 22:34:57+00:00,2026-12-31 00:00:00+00:00,343643.685534,"EXCLUDE (joint US/Israel family, not canonical)"
train,1139922,"Will US or Israel strike Iran by January 11, 2026?",US/Israel strikes Iran by...?,2026-01-08 22:34:57+00:00,2026-12-31 00:00:00+00:00,434749.529083,"EXCLUDE (joint US/Israel family, not canonical)"
train,1139923,"Will US or Israel strike Iran by January 12, 2026?",US/Israel strikes Iran by...?,2026-01-08 22:34:57+00:00,2026-12-31 00:00:00+00:00,837265.25219,"EXCLUDE (joint US/Israel family, not canonical)"
train,1139942,"Will US or Israel strike Iran by January 31, 2026?",US/Israel strikes Iran by...?,2026-01-08 22:35:07+00:00,2026-12-31 00:00:00+00:00,6455319.003647,"EXCLUDE (joint US/Israel family, not canonical)"
train,1178277,Will US or Israel strike Iran first?,Will US or Israel strike Iran first?,2026-01-13 20:30:20+00:00,2026-03-31 00:00:00+00:00,0.0,"EXCLUDE (joint US/Israel family, not canonical)"
train,1198479,"Will US or Israel strike Iran by February 28, 2026?",US/Israel strikes Iran by...?,2026-01-16 15:00:03+00:00,2026-12-31 00:00:00+00:00,5854949.547693,"EXCLUDE (joint US/Israel family, not canonical)"
train,1198523,"Will US or Israel strike Iran by March 31, 2026?",US/Israel strikes Iran by...?,2026-01-16 15:00:24+00:00,2026-12-31 00:00:00+00:00,1516235.505774,"EXCLUDE (joint US/Israel family, not canonical)"
train,1198592,"Will US or Israel strike Iran by December 31, 2026?",US/Israel strikes Iran by...?,2026-01-16 15:00:46+00:00,2026-12-31 00:00:00+00:00,582874.757215,"EXCLUDE (joint US/Israel family, not canonical)"
train,1200889,"Will US or Israel strike Iran by February 15, 2026?",US/Israel strikes Iran by...?,2026-01-16 21:42:24+00:00,2026-12-31 00:00:00+00:00,2803267.801609,"EXCLUDE (joint US/Israel family, not canonical)"
train,1323373,"Will US or Israel strike Iran by June 30, 2026?",US/Israel strikes Iran by...?,2026-02-03 01:00:01+00:00,2026-12-31 00:00:00+00:00,751859.185051,"EXCLUDE (joint US/Israel family, not canonical)"
train,1465966,"Will US or Israel strike Iran on March 1, 2026?",US/Israel strikes Iran on...?,2026-02-28 13:37:04+00:00,2026-03-10 00:00:00+00:00,1546965.587591,"EXCLUDE (joint US/Israel family, not canonical)"
train,1465967,"Will US or Israel strike Iran on March 2, 2026?",US/Israel strikes Iran on...?,2026-02-28 13:37:05+00:00,2026-03-10 00:00:00+00:00,2110344.914614,"EXCLUDE (joint US/Israel family, not canonical)"
train,1465968,"Will US or Israel strike Iran on March 3, 2026?",US/Israel strikes Iran on...?,2026-02-28 13:37:06+00:00,2026-03-10 00:00:00+00:00,2127874.3337,"EXCLUDE (joint US/Israel family, not canonical)"
train,1465969,"Will US or Israel strike Iran on March 4, 2026?",US/Israel strikes Iran on...?,2026-02-28 13:37:06+00:00,2026-03-10 00:00:00+00:00,1204059.832157,"EXCLUDE (joint US/Israel family, not canonical)"
train,1465970,"Will US or Israel strike Iran on March 5, 2026?",US/Israel strikes Iran on...?,2026-02-28 13:37:07+00:00,2026-03-10 00:00:00+00:00,0.0,"EXCLUDE (joint US/Israel family, not canonical)"
train,1465971,"Will US or Israel strike Iran on March 6, 2026?",US/Israel strikes Iran on...?,2026-02-28 13:37:07+00:00,2026-03-10 00:00:00+00:00,0.0,"EXCLUDE (joint US/Israel family, not canonical)"
train,1465972,"Will US or Israel strike Iran on March 7, 2026?",US/Israel strikes Iran on...?,2026-02-28 13:37:08+00:00,2026-03-10 00:00:00+00:00,0.0,"EXCLUDE (joint US/Israel family, not canonical)"
train,1465973,"Will US or Israel strike Iran on March 8, 2026?",US/Israel strikes Iran on...?,2026-02-28 13:37:09+00:00,2026-03-10 00:00:00+00:00,0.0,"EXCLUDE (joint US/Israel family, not canonical)"
train,1465974,"Will US or Israel strike Iran on March 9, 2026?",US/Israel strikes Iran on...?,2026-02-28 13:37:09+00:00,2026-03-10 00:00:00+00:00,0.0,"EXCLUDE (joint US/Israel family, not canonical)"
train,1465975,"Will US or Israel strike Iran on March 10, 2026?",US/Israel strikes Iran on...?,2026-02-28 13:37:10+00:00,2026-03-10 00:00:00+00:00,0.0,"EXCLUDE (joint US/Israel family, not canonical)"
train,1321994,US strikes Iran by Feb 28 Odds >30% by Friday?,US strikes Iran by Feb 28 Odds >30% by Friday?,2026-02-02 21:08:12+00:00,2026-02-06 00:00:00+00:00,767399.812463,EXCLUDE (meta-odds market)
train,1348943,Odds of US strikes Iran in February over 50% by Feb 13?,Odds of US strikes Iran in February over 50% by Feb 13?,2026-02-06 22:23:31+00:00,2026-02-13 00:00:00+00:00,156517.862838,EXCLUDE (meta-odds market)
train,1393838,Odds US strikes Iran by Feb 28 over 30% on Friday?,Odds US strikes Iran in Feb over __ on Friday?,2026-02-18 20:08:22+00:00,2026-02-20 00:00:00+00:00,69981.941089,EXCLUDE (meta-odds market)
train,1393839,Odds US strikes Iran by Feb 2 over 20% on Friday?,Odds US strikes Iran in Feb over __ on Friday?,2026-02-18 20:08:22+00:00,2026-02-20 00:00:00+00:00,70959.068637,EXCLUDE (meta-odds market)
train,1529737,Will the US accuse Iran of Oslo Embassy attack?,Will the US accuse Iran of Oslo Embassy attack?,2026-03-08 02:37:29+00:00,2026-03-31 13:43:23+00:00,431022.1269339997,EXCLUDE (not a strike market)
train,1356637,Trump strikes Iran during Big Game...?,Trump strikes Iran during Big Game...?,2026-02-08 18:58:35+00:00,2026-02-08 00:00:00+00:00,43325.100505,EXCLUDE (novelty/conditional timing variant)
train,1430107,Trump announces military action against Iran durring SOTU?,Trump announces military action against Iran durring SOTU?,2026-02-24 22:28:23+00:00,2026-02-25 00:00:00+00:00,158109.92986,EXCLUDE (novelty/conditional timing variant)
train,1144709,Will the US strike Iran next?,Next Country US Strikes,2026-01-09 18:32:44+00:00,2026-12-31 00:00:00+00:00,1563708.569054,"EXCLUDE (open-ended, no deadline rung)"
train,1157592,Will the US strike Iran next?,Next Country US Strikes,2026-01-11 05:29:00+00:00,2026-12-31 00:00:00+00:00,1120998.711464,"EXCLUDE (open-ended, no deadline rung)"
train,1178489,Will the US strike Iran next?,Next Country US Strikes,2026-01-13 21:14:43+00:00,2026-12-31 00:00:00+00:00,308546.209494,"EXCLUDE (open-ended, no deadline rung)"
train,1199781,Will the US strike Iran next?,Next Country US Strikes,2026-01-16 18:55:30+00:00,2026-03-19 09:09:23+00:00,1174636.91332,"EXCLUDE (open-ended, no deadline rung)"
train,1251815,Will the US strike Iran next?,Next Country US Strikes,2026-01-23 20:20:38+00:00,2026-12-31 00:00:00+00:00,1732824.916253,"EXCLUDE (open-ended, no deadline rung)"
train,1273679,Will the US strike Iran next?,Next Country US Strikes,2026-01-26 22:57:13+00:00,2026-12-31 00:00:00+00:00,1243467.84237,"EXCLUDE (open-ended, no deadline rung)"
train,1296547,Will the US strike Iran next?,Next Country US Strikes,2026-01-29 22:25:36+00:00,2026-12-31 00:00:00+00:00,1388824.953742,"EXCLUDE (open-ended, no deadline rung)"
train,1329595,Will the US strike Iran next?,Next Country US Strikes,2026-02-03 23:13:51+00:00,2026-12-31 00:00:00+00:00,1232602.012225,"EXCLUDE (open-ended, no deadline rung)"
train,1385632,Will the US strike Iran next?,Next Country US Strikes,2026-02-16 15:41:20+00:00,2026-12-31 00:00:00+00:00,1703509.345424,"EXCLUDE (open-ended, no deadline rung)"
train,1422367,Will the US strike Iran next?,Next Country US Strikes,2026-02-24 00:04:17+00:00,2026-12-31 00:00:00+00:00,1916981.16457,"EXCLUDE (open-ended, no deadline rung)"
train,1167608,"Will the US next strike Iran on January 12, 2026 (ET)?",US next strikes Iran on...?,2026-01-12 15:02:18+00:00,2026-01-31 00:00:00+00:00,174395.522147,"EXCLUDE (parallel 'next strike' ladder, different resolution mechanic)"
train,1167609,"Will the US next strike Iran on January 13, 2026 (ET)?",US next strikes Iran on...?,2026-01-12 15:02:18+00:00,2026-01-31 00:00:00+00:00,352574.897619,"EXCLUDE (parallel 'next strike' ladder, different resolution mechanic)"
train,1167610,"Will the US next strike Iran on January 14, 2026 (ET)?",US next strikes Iran on...?,2026-01-12 15:02:19+00:00,2026-01-31 00:00:00+00:00,1357454.586032,"EXCLUDE (parallel 'next strike' ladder, different resolution mechanic)"
train,1167611,"Will the US next strike Iran on January 15, 2026 (ET)?",US next strikes Iran on...?,2026-01-12 15:02:19+00:00,2026-01-31 00:00:00+00:00,721329.080151,"EXCLUDE (parallel 'next strike' ladder, different resolution mechanic)"
train,1167612,"Will the US next strike Iran on January 16, 2026 (ET)?",US next strikes Iran on...?,2026-01-12 15:02:20+00:00,2026-01-31 00:00:00+00:00,851046.503448,"EXCLUDE (parallel 'next strike' ladder, different resolution mechanic)"
train,1167613,"Will the US next strike Iran on January 17, 2026 (ET)?",US next strikes Iran on...?,2026-01-12 15:02:22+00:00,2026-01-31 00:00:00+00:00,509296.151737,"EXCLUDE (parallel 'next strike' ladder, different resolution mechanic)"
train,1167614,"Will the US next strike Iran on January 18, 2026 (ET)?",US next strikes Iran on...?,2026-01-12 15:02:22+00:00,2026-01-31 00:00:00+00:00,569914.084322,"EXCLUDE (parallel 'next strike' ladder, different resolution mechanic)"
train,1167615,"Will the US next strike Iran on January 19, 2026 (ET)?",US next strikes Iran on...?,2026-01-12 15:02:23+00:00,2026-01-31 00:00:00+00:00,1188559.348457,"EXCLUDE (parallel 'next strike' ladder, different resolution mechanic)"
train,1167616,"Will the US next strike Iran on January 20, 2026 (ET)?",US next strikes Iran on...?,2026-01-12 15:02:23+00:00,2026-01-31 00:00:00+00:00,1015021.458811,"EXCLUDE (parallel 'next strike' ladder, different resolution mechanic)"
train,1167617,"Will the US next strike Iran on January 21, 2026 (ET)?",US next strikes Iran on...?,2026-01-12 15:02:24+00:00,2026-01-31 00:00:00+00:00,1260513.937027,"EXCLUDE (parallel 'next strike' ladder, different resolution mechanic)"
train,1167618,"Will the US next strike Iran on January 22, 2026 (ET)?",US next strikes Iran on...?,2026-01-12 15:02:25+00:00,2026-01-31 00:00:00+00:00,1295691.790459,"EXCLUDE (parallel 'next strike' ladder, different resolution mechanic)"
train,1167619,"Will the US next strike Iran on January 23, 2026 (ET)?",US next strikes Iran on...?,2026-01-12 15:02:25+00:00,2026-01-31 00:00:00+00:00,2137803.046787,"EXCLUDE (parallel 'next strike' ladder, different resolution mechanic)"
train,1167620,"Will the US next strike Iran on January 24, 2026 (ET)?",US next strikes Iran on...?,2026-01-12 15:02:26+00:00,2026-01-31 00:00:00+00:00,1460612.60203,"EXCLUDE (parallel 'next strike' ladder, different resolution mechanic)"
train,1167621,"Will the US next strike Iran on January 25, 2026 (ET)?",US next strikes Iran on...?,2026-01-12 15:02:26+00:00,2026-01-31 00:00:00+00:00,1551909.358593,"EXCLUDE (parallel 'next strike' ladder, different resolution mechanic)"
train,1167622,"Will the US next strike Iran on January 26, 2026 (ET)?",US next strikes Iran on...?,2026-01-12 15:02:27+00:00,2026-01-31 00:00:00+00:00,1541870.036475,"EXCLUDE (parallel 'next strike' ladder, different resolution mechanic)"
train,1167623,"Will the US next strike Iran on January 27, 2026 (ET)?",US next strikes Iran on...?,2026-01-12 15:02:27+00:00,2026-01-31 00:00:00+00:00,1514603.445531,"EXCLUDE (parallel 'next strike' ladder, different resolution mechanic)"
train,1167624,"Will the US next strike Iran on January 28, 2026 (ET)?",US next strikes Iran on...?,2026-01-12 15:02:28+00:00,2026-01-31 00:00:00+00:00,1311210.751113,"EXCLUDE (parallel 'next strike' ladder, different resolution mechanic)"
train,1167625,"Will the US next strike Iran on January 29, 2026 (ET)?",US next strikes Iran on...?,2026-01-12 15:02:28+00:00,2026-01-31 00:00:00+00:00,1637680.053291,"EXCLUDE (parallel 'next strike' ladder, different resolution mechanic)"
train,1167626,"Will the US next strike Iran on January 30, 2026 (ET)?",US next strikes Iran on...?,2026-01-12 15:02:29+00:00,2026-01-31 00:00:00+00:00,1729140.700071,"EXCLUDE (parallel 'next strike' ladder, different resolution mechanic)"
train,1167627,"Will the US next strike Iran on January 31, 2026 (ET)?",US next strikes Iran on...?,2026-01-12 15:02:29+00:00,2026-01-31 00:00:00+00:00,2620126.344634,"EXCLUDE (parallel 'next strike' ladder, different resolution mechanic)"
train,1273905,Will the US next strike Iran in January 2026 (ET)?,US next strikes Iran on...?,2026-01-26 23:22:38+00:00,2026-02-28 00:00:00+00:00,264639.439241,"EXCLUDE (parallel 'next strike' ladder, different resolution mechanic)"
train,1273906,"Will the US next strike Iran on February 1, 2026 (ET)?",US next strikes Iran on...?,2026-01-26 23:22:38+00:00,2026-02-28 00:00:00+00:00,891598.734646,"EXCLUDE (parallel 'next strike' ladder, different resolution mechanic)"
train,1273907,"Will the US next strike Iran on February 2, 2026 (ET)?",US next strikes Iran on...?,2026-01-26 23:22:39+00:00,2026-02-28 00:00:00+00:00,489907.355097,"EXCLUDE (parallel 'next strike' ladder, different resolution mechanic)"
train,1273908,"Will the US next strike Iran on February 3, 2026 (ET)?",US next strikes Iran on...?,2026-01-26 23:22:40+00:00,2026-02-28 00:00:00+00:00,463964.351791,"EXCLUDE (parallel 'next strike' ladder, different resolution mechanic)"
train,1273909,"Will the US next strike Iran on February 4, 2026 (ET)?",US next strikes Iran on...?,2026-01-26 23:22:40+00:00,2026-02-28 00:00:00+00:00,999004.597025,"EXCLUDE (parallel 'next strike' ladder, different resolution mechanic)"
train,1273910,"Will the US next strike Iran on February 5, 2026 (ET)?",US next strikes Iran on...?,2026-01-26 23:22:41+00:00,2026-02-28 00:00:00+00:00,501896.8942,"EXCLUDE (parallel 'next strike' ladder, different resolution mechanic)"
train,1273911,"Will the US next strike Iran on February 6, 2026 (ET)?",US next strikes Iran on...?,2026-01-26 23:22:42+00:00,2026-02-28 00:00:00+00:00,576956.082557,"EXCLUDE (parallel 'next strike' ladder, different resolution mechanic)"
train,1273912,"Will the US next strike Iran on February 7, 2026 (ET)?",US next strikes Iran on...?,2026-01-26 23:22:42+00:00,2026-02-28 00:00:00+00:00,648793.858433,"EXCLUDE (parallel 'next strike' ladder, different resolution mechanic)"
train,1273913,"Will the US next strike Iran on February 8, 2026 (ET)?",US next strikes Iran on...?,2026-01-26 23:22:43+00:00,2026-02-28 00:00:00+00:00,2612755.165627,"EXCLUDE (parallel 'next strike' ladder, different resolution mechanic)"
train,1273914,"Will the US next strike Iran on February 9, 2026 (ET)?",US next strikes Iran on...?,2026-01-26 23:22:43+00:00,2026-02-28 00:00:00+00:00,3494377.897018,"EXCLUDE (parallel 'next strike' ladder, different resolution mechanic)"
train,1273915,"Will the US next strike Iran on February 10, 2026 (ET)?",US next strikes Iran on...?,2026-01-26 23:22:44+00:00,2026-02-28 00:00:00+00:00,2824909.075364,"EXCLUDE (parallel 'next strike' ladder, different resolution mechanic)"
train,1273916,"Will the US next strike Iran on February 11, 2026 (ET)?",US next strikes Iran on...?,2026-01-26 23:22:45+00:00,2026-02-28 00:00:00+00:00,2583817.375819,"EXCLUDE (parallel 'next strike' ladder, different resolution mechanic)"
train,1273917,"Will the US next strike Iran on February 12, 2026 (ET)?",US next strikes Iran on...?,2026-01-26 23:22:45+00:00,2026-02-28 00:00:00+00:00,1154654.031545,"EXCLUDE (parallel 'next strike' ladder, different resolution mechanic)"
train,1273918,"Will the US next strike Iran on February 13, 2026 (ET)?",US next strikes Iran on...?,2026-01-26 23:22:46+00:00,2026-02-28 00:00:00+00:00,1200922.649057,"EXCLUDE (parallel 'next strike' ladder, different resolution mechanic)"
